,module name,input shape,output shape,params,memory(MB),MAdd,Flops,MemRead(B),MemWrite(B),duration[%],MemR+W(B),DataSize,height
231,layer4.1.conv2,512   7   7,512   7   7,2359296,0.1,"231,185,920.00","115,605,504.00",9537536,100352,0.87%,9637888,0.096,7
232,layer4.1.bn2,512   7   7,512   7   7,1024,0.1,"100,352.00","50,176.00",104448,100352,0.00%,204800,0.096,7
233,layer4.1.conv3,512   7   7,2048   7   7,1048576,0.38,"102,660,096.00","51,380,224.00",4294656,401408,0.27%,4696064,0.096,7
234,layer4.1.bn3,2048   7   7,2048   7   7,4096,0.38,"401,408.00","200,704.00",417792,401408,0.00%,819200,0.191,7
235,layer4.1.relu,2048   7   7,2048   7   7,0,0.38,"100,352.00","100,352.00",401408,401408,0.00%,802816,0.191,7
236,layer4.2.conv1,2048   7   7,512   7   7,1048576,0.1,"102,735,360.00","51,380,224.00",4595712,100352,0.27%,4696064,0.191,7
237,layer4.2.bn1,512   7   7,512   7   7,1024,0.1,"100,352.00","50,176.00",104448,100352,0.00%,204800,0.096,7
238,layer4.2.conv2,512   7   7,512   7   7,2359296,0.1,"231,185,920.00","115,605,504.00",9537536,100352,1.04%,9637888,0.096,7
239,layer4.2.bn2,512   7   7,512   7   7,1024,0.1,"100,352.00","50,176.00",104448,100352,0.00%,204800,0.096,7
240,layer4.2.conv3,512   7   7,2048   7   7,1048576,0.38,"102,660,096.00","51,380,224.00",4294656,401408,0.53%,4696064,0.096,7
241,layer4.2.bn3,2048   7   7,2048   7   7,4096,0.38,"401,408.00","200,704.00",417792,401408,0.02%,819200,0.191,7
242,layer4.2.relu,2048   7   7,2048   7   7,0,0.38,"100,352.00","100,352.00",401408,401408,0.00%,802816,0.191,7
243,avgpool,2048   7   7,2048   1   1,0,0.01,0,0,0,0,17.26%,0,0.191,7
244,fc,2048,1000,2049000,0,"4,095,000.00","2,048,000.00",8204192,4000,0.27%,8208192,0.004,
total, , , ,44549160,161.75,"15,662,845,464.00","7,844,406,272.00",8204192,4000,100.00%,518000704,,
